id,Price_xg
0,2870.641
1,5768.7793
2,9416.943
3,4019.9333
4,1640.2888
5,6365.575
6,4575.31
7,4125.8394
8,5066.32
9,14893.936
10,4437.9937
11,836.5418
12,3160.5977
13,1620.5377
14,2595.4866
15,1172.0804
16,1439.726
17,3906.7495
18,4029.2893
19,894.44617
20,2081.3853
21,5063.7627
22,4007.179
23,552.50665
24,14526.448
25,992.0695
26,586.45233
27,974.79364
28,1657.3063
29,909.2766
30,10748.414
31,581.81384
32,4233.892
33,723.6564
34,637.4967
35,2563.2002
36,6040.4697
37,2599.3804
38,2636.4277
39,745.2634
40,500.651
41,8761.146
42,879.1177
43,1746.0033
44,10223.111
45,2442.5327
46,963.2742
47,751.5905
48,1091.7113
49,2807.0137
50,616.86096
51,4518.163
52,2967.1218
53,7333.9497
54,5393.401
55,2191.218
56,8793.882
57,2378.537
58,4355.248
59,2720.4204
60,1201.5646
61,527.13696
62,7065.291
63,1042.7379
64,8681.235
65,17350.549
66,1042.0214
67,12317.985
68,5541.7856
69,9494.442
70,444.54877
71,734.6323
72,798.8023
73,1249.9165
74,5161.5684
75,1910.1653
76,8284.697
77,13928.806
78,2799.4946
79,6613.7397
80,11023.706
81,2086.879
82,14822.736
83,6594.353
84,894.1592
85,7741.5293
86,1024.2654
87,12961.724
88,8797.491
89,15686.94
90,5014.822
91,1304.919
92,1031.8208
93,823.50464
94,18040.406
95,1126.2573
96,14334.319
97,15050.699
98,12502.635
99,720.90955
100,2340.2898
101,644.1171
102,664.2425
103,386.76425
104,1097.5693
105,1719.3137
106,1299.979
107,671.1297
108,1178.1733
109,699.6281
110,649.79114
111,1025.0681
112,1917.2971
113,1645.738
114,1308.4242
115,5283.3535
116,5196.8354
117,16248.544
118,472.44986
119,17309.664
120,1323.5292
121,1699.8832
122,1133.9276
123,530.8545
124,678.8959
125,1423.2887
126,1116.674
127,12902.741
128,5572.8677
129,4993.503
130,6440.595
131,2818.4465
132,6606.198
133,1049.4756
134,3646.2473
135,1079.5359
136,637.159
137,7452.043
138,597.23425
139,4231.356
140,792.78925
141,966.90985
142,3493.145
143,4413.1196
144,733.8235
145,5994.579
146,16298.684
147,5122.79
148,2588.7925
149,1786.3281
150,2471.926
151,1718.2333
152,12139.996
153,2661.9438
154,607.0806
155,14057.594
156,3214.452
157,2938.2383
158,3914.694
159,873.6914
160,7591.7837
161,9782.331
162,764.60187
163,728.77216
164,5368.9834
165,11115.588
166,3090.7607
167,4533.252
168,3396.4062
169,11429.48
170,774.3615
171,1632.0498
172,4515.268
173,2226.6648
174,6205.189
175,1784.5428
176,4264.9062
177,3540.0703
178,2740.7642
179,3433.2212
180,3554.8213
181,1545.2709
182,973.713
183,1684.4825
184,744.69415
185,3987.324
186,966.20636
187,926.46875
188,526.2432
189,1912.0302
190,2359.5051
191,718.6783
192,828.7105
193,6126.4575
194,3962.7148
195,2483.592
196,699.6281
197,13003.891
198,572.86426
199,9550.715
200,9814.215
201,6611.238
202,661.1644
203,773.5506
204,6303.2363
205,3604.0112
206,644.35284
207,2997.5159
208,1010.94116
209,8660.276
210,2540.9988
211,8023.083
212,11024.198
213,492.13583
214,1199.8999
215,925.73334
216,2744.3965
217,2435.0735
218,798.0428
219,1289.3063
220,1911.6862
221,2133.3213
222,8889.066
223,1072.2057
224,1195.4047
225,4350.6904
226,3462.3235
227,2086.4656
228,6262.4443
229,1901.673
230,5138.177
231,1465.455
232,1033.8347
233,1500.3369
234,919.87024
235,10678.614
236,1192.4504
237,966.8968
238,4444.211
239,8599.892
240,6118.6724
241,889.08484
242,15525.414
243,4501.419
244,491.5923
245,1001.2785
246,2589.206
247,6986.8906
248,11096.394
249,5702.5
250,5557.3525
251,1656.3066
252,2818.1187
253,4955.271
254,5314.278
255,1269.7991
256,707.28876
257,1901.6855
258,808.9829
259,14449.217
260,6347.2676
261,4763.8174
262,1754.7311
263,3929.089
264,802.257
265,2254.6296
266,8254.319
267,1758.3108
268,1018.48236
269,8709.699
270,7503.4775
271,834.8692
272,4325.7144
273,5078.0874
274,431.44223
275,931.477
276,6103.118
277,566.3685
278,6832.4404
279,8621.856
280,1576.386
281,2719.5847
282,3883.1008
283,8888.946
284,8970.275
285,10778.092
286,4992.5107
287,16247.438
288,1723.3243
289,6786.6504
290,360.62387
291,8644.728
292,17379.861
293,809.14594
294,7611.4995
295,1829.5201
296,2247.8542
297,696.53345
298,398.4308
299,5089.846
300,3292.2078
301,1143.1722
302,3431.5771
303,5125.662
304,5752.683
305,8924.456
306,1045.5691
307,1091.2922
308,1686.2701
309,2280.6982
310,1836.5063
311,440.70392
312,7637.208
313,5031.7363
314,2428.3064
315,10510.829
316,652.1176
317,1045.8435
318,875.5911
319,8179.341
320,5012.478
321,465.2125
322,425.26144
323,499.87836
324,924.5406
325,5714.564
326,1646.4111
327,1746.5914
328,6220.662
329,484.73312
330,15262.294
331,2466.14
332,874.0199
333,8689.31
334,3499.7495
335,1804.4268
336,15129.315
337,871.78253
338,901.4028
339,6050.1465
340,699.6281
341,1626.8323
342,666.5793
343,4571.508
344,4213.1875
345,1658.3275
346,671.1855
347,2655.6685
348,4738.286
349,825.93994
350,2789.8306
